Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Refs
Nine,"September 22 – 30, 1886",100 mph (155 km/h),990 hPa (29.23 inHg),No land areas,0,None,[2][61]
Four,"July 20 – 28, 1887",100 mph (155 km/h),981 hPa (28.97 inHg),"Cuba, Yucatán Peninsula, Florida, Georgia, Alabama",0,Extensive,[2][67][61]
Eight,"September 1 – 4, 1887",105 mph (165 km/h),963 hPa (28.44 inHg),Ireland,0,None,[2][61]
Nine,"September 11 – 22, 1887",100 mph (155 km/h),973 hPa (28.73 inHg),"Yucatán Peninsula, Texas, Extreme Northeastern Mexico",14,Unknown,[2][68][66]
Fifteen,"October 15 – 19, 1887",105 mph (165 km/h),975 hPa (28.79 inHg),No land areas,0,None,[2]
Seven,"October 8 – 12, 1888",110 mph (175 km/h),970 hPa (28.64 inHg),"Florida, East Coast of the United States",0,Unknown,[2][69]
Nine,"November 17 – 25, 1888",100 mph (155 km/h),982 hPa (29.00 inHg),No land areas,0,None,[2]
Four,"September 1 – 12, 1889",105 mph (165 km/h),981 hPa (28.97 inHg),"Puerto Rico, Virginia",40,Minimal,[2][61]
Six,"September 12 – 25, 1889",110 mph (175 km/h),985 hPa (29.09 inHg),"Yucatán Peninsula, Florida",0,Minor,[2][61]
Four,"September 2 – 8, 1891",100 mph (155 km/h),Unknown,"New England, Nova Scotia, Newfoundland",0,Minor,[2][70]
Five,"September 16 – 26, 1891",100 mph (155 km/h),980 hPa (28.94 inHg),Bermuda,0,Minimal,[2][70]
Six,"September 29 – October 5, 1891",100 mph (155 km/h),981 hPa (28.97 inHg),"Nova Scotia, Newfoundland[nb 2]",0,None,[2]
Three,"September 3 – 17, 1892",100 mph (155 km/h),Unknown,No land areas,0,None,[2][71]
Five,"September 12 – 23, 1892",100 mph (155 km/h),Unknown,Azores,0,Minor,[2][71]
Seven,"October 5 – 16, 1892",100 mph (155 km/h),Unknown,"Trinidad and Tobago, Venezuela, Colombia, Nicaragua, Honduras, Mexico",0,Unknown,[2][71]
Two,"July 4 – 7, 1893",100 mph (155 km/h),Unknown,"Nicaragua, Belize, Yucatán Peninsula, Tabasco",Many,Unknown,[2][72][73][74]
Five,"August 15 – 19, 1893",100 mph (155 km/h),Unknown,"Sable Island, Newfoundland",0,Minor,[2][72]
Seven,"August 20 – 29, 1893",100 mph (155 km/h),Unknown,Azores,5,Unknown,[2][75]
Eight,"September 4 – 9, 1893",100 mph (155 km/h),973 hPa (28.73 inHg),"Yucatán Peninsula, Louisiana, Alabama",0,Unknown,[2][72]
Seven,"October 21 – 29, 1894",,955 hPa (28.20 inHg),No land areas,0,None,[2]
Two,"August 22 – 30, 1895",110 mph (175 km/h),963 hPa (28.44 inHg),"Yucatán Peninsula, Texas",0,Minimal,[2][76]
Five,"October 12 – 26, 1895",105 mph (165 km/h),973 hPa (28.73 inHg),"Cuba, Bahamas",Unknown,Unknown,[2][76][77]
One,"July 4–9, 1896",100 mph (155 km/h),Unknown,"Cuba (questioned), Florida, Alabama, Tennessee, Indiana, Michigan, Canada, Greenland[nb 3]",1,$100 thousand,[2][78][79][80][81]
Three,"September 18 – 28, 1896",100 mph (155 km/h),Unknown,"Cuba, North Carolina",0,Minimal,[2][78]
Five,"October 7 – 13, 1896",100 mph (155 km/h),Unknown,"Florida, North Carolina, Virginia, New England",4,$500 thousand,[2][78][82][83][84]
Six,"October 26 – November 9, 1896",100 mph (155 km/h),Unknown,No land areas,0,None,[2][20]
