Category,Name,Dates,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD)
4,Hurricane Julia,"September 15,2010",140 mph (220 km/h),,,,
4,Hurricane Katia,"September 6,2011",140 mph (220 km/h),,,,
4,Hurricane Ophelia,"October 2,2011",145 mph (230 km/h),,,,
4,Hurricane Gonzalo,"October 15-17,2014",155 mph (250 km/h),,,,
4,Hurricane Joaquin,"October 1-3,2015",140 mph (220 km/h),,,,
4,Hurricane Nicole,"October 12-13,2016",130 mph (215 km/h),,,,
4,Hurricane Harvey,"August 26,2017",155 mph (250 km/h),,,,
4,Hurricane Jose,"September 8-10,2017",150 mph (240 km/h),,,,
4,Hurricane Florence,"September 5-12,2018",150 mph (240 km/h),,,,
4,Hurricane Laura,"August 26-27,2020",140 mph (220 km/h),,,,
4,Hurricane Teddy,"September 17-18,2020",140 mph (220 km/h),,,,
4,Hurricane Delta,"October 6,2020",150 mph (240 km/h),,,,
4,Hurricane Eta,"November 2-3,2020",155 mph (250 km/h),,,,
4,Hurricane Iota,"November 16-17,2020",150 mph (240 km/h),,,,
4,Hurricane Ida,"August 29,2021",155 mph (250 km/h),,,,
4,Hurricane Sam,"September 25-October 2,2021",165 mph (270 km/h),,,,
5,"""Cuba""","October 19,, 1924",165 mph (270 km/h),,,90,
5,"""San Felipe II Okeechobee""","September 13–14, 1928",160 mph (260 km/h),,,4000,$100 million
5,"""Bahamas""","September 5–6, 1932",160 mph (260 km/h),,,16,
5,"""Camaguey""","November 5–8, 1932",175 mph (280 km/h),,,3103,$40 million
5,"""Cuba-Brownsville""","August 30,, 1933",160 mph (260 km/h),,,179,$27.9 million
5,"""Tampico""","	September 21,, 1933",160 mph (260 km/h),,,184,$5 million
5,"""Labor Day""","	September 3,, 1935",185 mph (295 km/h),,,408,
5,"""New England""","September 19–20, 1938",160 mph (260 km/h),,,682,$306 million
5,Carol,"September 3,, 1953",160 mph (260 km/h),,,5,$2 million
5,Janet,"September 27–28, 1955",175 mph (280 km/h),,,1023,$65.8 million
